user_id,username,password,role,last_logged_in
10000,Shanmukh,shan@123,Customer,"2024-03-13 10:22:30"
10001,Balaji,Balaji#200,Customer,"2024-03-13 11:03:26"
10002,Kumar,Kumar@2004,Manager,"2024-03-13 11:30:15"
10003,Hemanth,Hemanth%2001,Manager,"2024-03-13 11:50:05"
10004,Chinmayaa,Chinm@2001,Customer,"2024-03-13 14:39:28"
10005,Goutham,Gout@2004,Customer,"2024-03-13 14:39:59"
10006,Padmanabhan,Paddy*2007,Customer,"2024-03-13 14:40:30"
10007,Nishanth,Nishanth(2008,Customer,"2024-03-13 14:41:00"
10008,Param,Param$1992,Customer,"2024-03-13 14:41:27"
10009,Irfan,Irfan%2431,Manager,"2024-03-13 14:41:47"
10010,Aashuthosh,Ashu#2005,Manager,"2024-03-13 14:42:13"
10011,abcd,Cbc@384848,Customer,"2024-03-14 17:31:13"
10012,"Jythoish B",Jyo@2003,Customer,"2024-03-18 10:06:19"
10013,"Chaitanya T",Chaitan/65,Customer,"2024-03-18 11:08:03"
10014,Manikanta,Mani#45,Customer,"2024-03-19 14:00:28"
10015,"Ganesh B",Shine&839,Customer,"2024-03-19 14:56:57"
10016,"Shashank ",Shash*25,Customer,"2024-03-19 17:15:38"
10017,"Sai Sumanth",Suman^76,Manager,"2024-03-19 17:28:06"
